Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Elche CF,20,11,7,51:29,22,71
2,Levante UD,18,13,7,61:39,22,67
3,Racing,19,9,10,59:44,15,66
4,Real Oviedo,18,11,9,51:40,11,65
5,CD Mirandés,19,8,11,51:36,15,65
6,UD Almería,17,11,10,67:53,14,62
7,Granada CF,16,11,11,59:47,12,59
8,SD Huesca,16,10,12,51:39,12,58
9,Córdoba CF,14,12,12,54:53,1,54
10,RC Deportivo,13,14,11,53:44,9,53
11,Albacete,13,12,13,51:53,-2,51
12,Burgos CF,14,9,15,34:40,-6,51
13,Cádiz CF,12,13,13,48:49,-1,49
14,CD Castellón,13,10,15,57:56,1,49
15,SD Eibar,12,13,13,37:39,-2,49
16,Málaga CF,11,16,11,38:40,-2,49
17,Real Sporting,11,14,13,49:49,0,47
18,Real Zaragoza,11,12,15,51:56,-5,45
19,CD Eldense,10,10,18,37:56,-19,40
20,CD Tenerife,8,11,19,35:51,-16,35
21,Racing Ferrol,5,11,22,21:60,-39,26
22,FC Cartagena,5,5,28,27:69,-42,20
